EOS,Potential,E0,E0_err,V0,V0_err,B,B_err,BP,BP_err,ForceRMSE,EnergyRMSE,L0
murnaghan,MTP,-3.744696354614167,8.475407504809032e-07,16.490015205321445,0.00023736833431231802,72.60929001539259,0.0005927484683315525,4.7438942797938655,0.005345535955636256,9.547774609824008e-07,0.00018206371016557857,4.040419043549545
birch,MTP,-3.746770338015169,9.427312060129245e-08,16.478936159888516,2.694766541005329e-05,76.12281792309663,8.594029745432138e-05,4.708671380140738,0.0005489005533705686,9.547774609824008e-07,0.00018206371016557857,4.039513971203839
birchmurnaghan,MTP,-3.746770337918597,9.42731193912522e-08,16.478936158771766,2.6947666539058357e-05,76.12281789534356,8.59403091701903e-05,4.708671388014934,0.0005489005753645868,9.547774609824008e-07,0.00018206371016557857,4.039513971112588
