EOS,Potential,E0,E0_err,V0,V0_err,B,B_err,BP,BP_err,ForceRMSE,EnergyRMSE,L0
murnaghan,EAM,-3.4424810898970786,2.595504499021157e-07,16.931869315562157,7.154346752666719e-05,65.22585110130855,0.00016504933047348027,4.1270412849937985,0.0014092864303750813,4.666571427599592e-06,0.3137651360464452,4.076189407945217
birch,EAM,-3.4439623253744385,1.0658322293988445e-09,16.913073596586777,3.0240520448469315e-07,67.7398509829803,6.904942047027423e-07,4.176136487054259,5.754710339573494e-06,4.666571427599592e-06,0.3137651360464452,4.074680553063628
birchmurnaghan,EAM,-3.44396232537167,1.065832234623501e-09,16.913073596531493,3.024052767570057e-07,67.73985098221206,6.904942333430871e-07,4.176136487377326,5.754712671743961e-06,4.666571427599592e-06,0.3137651360464452,4.074680553059188
